ID_VIV,ID_HOG,UPM,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,TOT_PER,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS
1300308.02,1300308.02.01,1300308,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,289,289,U,224,5651
1300308.03,1300308.03.01,1300308,3,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,4,289,289,U,224,5651
1300308.05,1300308.05.01,1300308,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,289,289,U,224,5651
1300316.01,1300316.01.01,1300316,1,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,302,302,U,223,5652
1300316.02,1300316.02.01,1300316,2,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,4,302,302,U,223,5652
1300316.03,1300316.03.01,1300316,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,302,302,U,223,5652
1300405.04,1300405.04.01,1300405,4,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,316,316,U,223,5661
1300405.05,1300405.05.01,1300405,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,316,316,U,223,5661
1300409.01,1300409.01.01,1300409,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,414,414,U,224,5662
1300409.02,1300409.02.01,1300409,2,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,414,414,U,224,5662
1300409.03,1300409.03.01,1300409,3,1,A,1,3,13,HIDALGO,48,PACHUCA DE SOTO,3,414,414,U,224,5662
1300409.04,1300409.04.01,1300409,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,414,414,U,224,5662
1300409.05,1300409.05.01,1300409,5,1,B,2,4,13,HIDALGO,48,PACHUCA DE SOTO,5,414,414,U,224,5662
1300413.01,1300413.01.01,1300413,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,332,332,U,223,5663
1300413.03,1300413.03.01,1300413,3,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,332,332,U,223,5663
1300413.04,1300413.04.01,1300413,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,332,332,U,223,5663
1300413.05,1300413.05.01,1300413,5,1,B,1,3,13,HIDALGO,48,PACHUCA DE SOTO,3,332,332,U,223,5663
1300416.01,1300416.01.01,1300416,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,271,271,U,223,5664
1300416.02,1300416.02.01,1300416,2,1,A,2,3,13,HIDALGO,48,PACHUCA DE SOTO,6,271,271,U,223,5664
1300418.01,1300418.01.01,1300418,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,6,308,308,U,223,5665
1300418.02,1300418.02.01,1300418,2,1,B,4,1,13,HIDALGO,48,PACHUCA DE SOTO,4,308,308,U,223,5665
1300418.03,1300418.03.01,1300418,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,308,308,U,223,5665
1300418.04,1300418.04.01,1300418,4,1,B,4,4,13,HIDALGO,48,PACHUCA DE SOTO,4,308,308,U,223,5665
1300418.04,1300418.04.02,1300418,4,2,A,2,3,13,HIDALGO,48,PACHUCA DE SOTO,3,308,308,U,223,5665
